run,applies_to_cameras,timestamp_records,strictly_increasing,sidecar_schedules_identical,decoded_camera_sync_established,start_utc,end_utc,timestamp_log_span_s,mean_capture_event_cadence_hz,median_capture_event_cadence_hz,interval_min_ms,interval_p05_ms,interval_median_ms,interval_mean_ms,interval_p95_ms,interval_p99_ms,interval_max_ms,nonpositive_interval_count,irregular_interval_threshold_ms,irregular_interval_count,largest_gap_after_timestamp_index,irregularity_summary
runA,"cam0, cam5",2695,True,True,False,2025-02-28 06:24:09.579559971+00:00,2025-02-28 06:28:39.174062343+00:00,269.594502372,9.992785373207216,10.005321730575275,88.82909,95.52609439999999,99.946811,100.07219835634744,104.60460404999999,106.65430216,300.823183,0,150.0,1,4,1 interval >150 ms; maximum 300.823 ms after 0-based timestamp index 4
runB,"cam0, cam5",2663,True,True,False,2024-04-13 09:12:41.984952117+00:00,2024-04-13 09:17:08.477218631+00:00,266.492266514,9.98903283319163,9.9983487227167,87.158655,95.06884875,100.0165155,100.10979207888806,104.8838285,107.3779953,396.886524,0,150.0,1,5,1 interval >150 ms; maximum 396.887 ms after 0-based timestamp index 5
