run,camera,file_size_bytes,file_size_mib,ffprobe_codec,ffprobe_pixel_format,ffprobe_visible_resolution,ffprobe_coded_raster,ffprobe_nominal_fps,ffprobe_avg_fps,nominal_fps_source,ffprobe_frame_scan,packet_count,packets_with_pts,packets_with_dts,canonical_decoded_images,decoded_rgb_shapes,canonical_decoder_version,decode_exit_code,decoder_reported_errors,resolution_changed,frame_scan_agrees,timestamp_records,timestamp_minus_decoded_images,decoded_to_timestamp_count_ratio
runA,cam0,128974848,123.0,hevc,yuv420p,1440×1080,1440×1088,10.0,25.0,FFprobe r_frame_rate (reported; metadata/inference origin not established),2674,2674,0,0,2674,"(1080, 1440, 3)",ffmpeg version 8.1.2 Copyright (c) 2000-2026 the FFmpeg developers,0,False,False,True,2695,21,0.9922077922077922
runA,cam5,121896960,116.25,hevc,yuv420p,1440×1080,1440×1088,10.0,25.0,FFprobe r_frame_rate (reported; metadata/inference origin not established),2674,2674,0,0,2674,"(1080, 1440, 3)",ffmpeg version 8.1.2 Copyright (c) 2000-2026 the FFmpeg developers,0,False,False,True,2695,21,0.9922077922077922
runB,cam0,69992448,66.75,hevc,yuv420p,1440×1080,1440×1088,10.0,25.0,FFprobe r_frame_rate (reported; metadata/inference origin not established),2622,2622,0,0,2622,"(1080, 1440, 3)",ffmpeg version 8.1.2 Copyright (c) 2000-2026 the FFmpeg developers,0,False,False,True,2663,41,0.9846038302666166
runB,cam5,63963136,61.0,hevc,yuv420p,1440×1080,1440×1088,10.0,25.0,FFprobe r_frame_rate (reported; metadata/inference origin not established),2615,2615,0,0,2615,"(1080, 1440, 3)",ffmpeg version 8.1.2 Copyright (c) 2000-2026 the FFmpeg developers,0,False,False,True,2663,48,0.9819752159218926
