camera_id,runA_frame,runB_frame,confidence,posterior_probability,posterior_no_correspondence,confidence_is_calibrated_probability,status,method,motion_channel
cam5,0,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,1,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,2,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,3,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,4,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,5,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,6,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,7,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,8,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,9,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,10,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,11,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,12,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,13,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,14,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,15,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,16,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,17,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,18,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,19,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,20,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,21,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,22,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,23,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,24,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,25,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,26,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,27,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,28,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,29,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,30,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,31,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,32,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,33,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,34,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,35,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,36,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,37,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,38,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,39,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,40,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,41,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,42,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,43,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,44,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,45,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,46,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,47,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,48,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,49,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,50,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,51,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,52,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,53,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,54,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,55,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,56,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,57,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,58,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,59,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,60,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,61,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,62,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,63,,abstain,,,True,idle_segment,bayes-hmm-v1,true
cam5,64,,abstain,,,True,idle_segment,bayes-hmm-v1,true
